bus,phse,phsp,hydroe,hydrop,OCGT,CCGT,biomass,nuclear,ror
AL0 0,0.0,0.0,62267.0,1690.7,0.0,0.0,0.0,0.0,48.2
AT0 0,0.0,1560291.867386799,2514074.8204081636,4510.12,0.0,3365.2,0.0,0.0,4466.080368258109
BA0 0,0.0,3.4790697674418403,2499698.881987578,1773.5,0.0,0.0,0.0,0.0,0.0
BE0 0,0.0,5000.0,200000.0,12.73566878980889,0.0,1084.0,30.0,3008.0,59.015339742579165
BE0 1,0.0,710.0,0.0,0.0,0.0,3994.3,45.0,2911.0,0.0
BG0 0,0.0,27340.0,3986210.0000000005,1925.14,0.0,93.0,0.0,2080.0,110.4
CH0 0,0.0,346164.2285381208,6283519.770394331,10456.869999999999,0.0,55.0,86.3972,2970.0,4210.8808
CZ0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE0 0,0.0,10101.606108478147,0.0,0.0,0.0,417.1,488.79575,0.0,97.59118000000001
DE0 1,0.0,989.9999999999999,0.0,0.0,0.0,3354.015,394.12244000000004,0.0,11.881000000000004
DE0 10,0.0,0.0,0.0,0.0,0.0,1896.8,685.2290499999999,0.0,0.42500000000000004
DE0 11,0.0,598.5507246376812,0.0,0.0,14.0,7399.779,509.541531,0.0,103.333
DE0 12,0.0,4237.268256749797,0.0,0.0,0.0,2655.95,570.40746,0.0,43.87594
DE0 2,0.0,4572.235317926094,0.0,0.0,0.0,1258.21,644.4502,0.0,55.84639999999999
DE0 3,0.0,629.0,0.0,0.0,0.0,859.8100000000001,394.43719999999996,0.0,73.733
DE0 4,0.0,1410.0,0.0,0.0,23.31,2973.0899999999997,806.6824199999999,1410.0,1184.2935
DE0 5,0.0,0.0,0.0,0.0,0.0,3259.7,1069.2505150000002,1336.0,19.955
DE0 6,0.0,10863.728017087931,124352.33160621762,120.0,9.84,1249.54,491.60645,1320.0,577.1178300000001
DE0 7,0.0,0.0,175647.6683937824,169.5,0.0,644.0,792.6491599999999,0.0,356.86600000000004
DE0 8,0.0,4488.405886909372,0.0,0.0,0.0,408.0,141.16609999999997,0.0,177.543
DE0 9,0.0,640.0,0.0,0.0,0.0,576.4,1023.39805,0.0,0.41500000000000004
DK0 0,0.0,0.0,0.0,0.0,0.0,775.2,152.0,0.0,0.0
DK1 0,0.0,0.0,0.0,0.0,0.0,1301.0,30.0,0.0,0.0
EE0 0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0
ES0 0,0.0,46870.73103193649,14158021.15788757,655.89,0.0,7203.784000000001,0.0,1063.9,0.0
ES0 1,0.0,3005155.602764889,609914.3323316795,7426.0199999999995,0.0,1959.58,227.0,0.0,130.0
ES0 2,0.0,59676.40833553154,885688.2716049382,1420.195,0.0,6137.620000000001,0.0,3032.8,147.00824749999998
ES0 3,0.0,7391.791458679978,245126.06666666668,600.3,0.0,4557.017999999999,57.0,1003.4,0.0
ES0 4,0.0,2342.0246376811597,838355.2777777779,3234.9320000000002,0.0,6454.265,161.0,0.0,0.0
ES0 5,0.0,669376.5182186234,1401345.8937313682,1628.0,0.0,615.977,50.0,2017.1,0.0
ES2 0,0.0,0.0,0.0,0.0,0.0,1343.0,38.0,0.0,0.0
FI1 0,0.0,0.0,5180614.859094791,1103.0,0.0,129.8,1652.6,0.0,1122.3
FI1 1,0.0,0.0,319385.14090520923,68.0,0.0,2579.8,1498.3400000000001,4362.0,348.3
FR0 0,0.0,0.0,1114758.765261805,463.4,0.0,1855.0,62.289,3660.0,2110.0
FR0 1,0.0,0.0,0.0,0.0,0.0,1603.0,176.16899999999998,10670.0,0.0
FR0 10,0.0,0.0,0.0,0.0,0.0,1919.0,86.947,5460.0,0.0
FR0 11,0.0,41583.15352339968,1022086.0805860806,1743.1847133757958,0.0,227.0,89.4059,6250.0,1807.7141130846078
FR0 12,0.0,0.0,1630205.4885279448,677.6687898089167,0.0,77.0,38.87,6260.0,223.67
FR0 2,0.0,0.0,0.0,0.0,0.0,0.0,48.923199999999994,6610.0,0.0
FR0 3,0.0,0.0,334379.51741776196,139.0,0.0,1082.0,49.79,5200.0,1476.1
FR0 4,0.0,0.0,0.0,0.0,0.0,1316.0,43.943,2660.0,0.0
FR0 5,0.0,0.0,0.0,0.0,0.0,346.0,52.7567,5320.0,0.0
FR0 6,0.0,66.0,702.9887640449439,1160.5878980891716,0.0,0.0,31.916000000000004,0.0,223.0
FR0 7,0.0,4503.0,0.0,0.0,0.0,0.0,38.75064999999999,5620.0,0.0
FR0 8,0.0,36400.0,4207287.413651098,1748.949681528662,0.0,488.2,27.343,0.0,809.5
FR0 9,0.0,0.0,1165914.5945945946,2505.740127388534,0.0,0.0,20.927,0.0,220.6650363370554
FR6 0,0.0,0.0,324665.151196671,134.96178343949032,0.0,231.0,2.295,0.0,0.0
GB3 0,0.0,7000.0,81264.10835214447,90.0,0.0,144.0,442.20000000000005,1370.0,632.8
GB3 1,0.0,0.0,0.0,0.0,0.0,9390.0,949.5,1320.0,0.0
GB3 2,0.0,0.0,0.0,0.0,0.0,4478.453007396332,436.8,2676.0,2147.3
GB3 3,0.0,0.0,0.0,0.0,0.0,7475.1224321468435,368.9,5284.0,55.975
GB3 4,0.0,0.0,0.0,0.0,0.0,7225.3,3748.1000000000004,1332.0,0.0
GB3 5,0.0,0.0,0.0,0.0,0.0,3088.0,426.6,0.0,0.0
GB3 6,0.0,0.0,118735.89164785553,131.5,0.0,2.5,42.7,0.0,794.1
GB3 7,0.0,0.0,0.0,0.0,0.0,1167.1,272.09999999999997,0.0,0.0
GB4 0,0.0,0.0,0.0,0.0,0.0,1193.0,38.7,0.0,6.0
GR0 0,0.0,5140.0,466405.53908802103,2566.0,0.0,7749.142334258649,0.0,0.0,103.1
HR0 0,0.0,12869.565217391306,2800000.0,1452.4044585987263,0.0,810.8,0.0,0.0,273.1677302916768
HU0 0,0.0,0.0,200000.0,28.0,0.0,2076.7,40.0,1898.9,19.7
IE4 0,0.0,2416.4383561643835,200000.0,1.0,0.0,4389.0,68.0,0.0,216.0
IT0 0,0.0,149800.0,271192.9055020501,144.0,0.0,4381.42,0.0,0.0,853.0
IT0 1,0.0,15075.0,129946.6005530657,69.0,0.0,5572.0,72.0,0.0,322.0
IT0 2,0.0,36281.259842519685,2989525.1263469057,1587.4,0.0,10116.7,35.0,0.0,2919.54
IT0 3,0.0,3999.9999999999995,45198.81758367502,24.0,0.0,5396.0,0.0,0.0,43.0
IT0 4,0.0,174449.85454650194,3129264.8040431007,1661.6,0.0,1722.9,0.0,0.0,2890.0
IT0 5,0.0,2248.0,240683.7036330695,127.8,0.0,9129.0,81.0,0.0,215.0
IT0 6,0.0,0.0,947291.8851911891,503.0,0.0,3596.5,46.0,0.0,569.0
IT5 0,0.0,9529.748647788736,146896.15714694382,78.0,0.0,0.0,36.0,0.0,60.0
LT0 0,0.0,10800.0,0.0,0.0,0.0,1148.0,70.0,0.0,101.0
LU0 0,0.0,15510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV0 0,0.0,0.0,0.0,0.0,0.0,1087.0,0.0,0.0,1536.1
ME0 0,0.0,1842.0,2894.0000000000005,344.961,0.0,0.0,0.0,0.0,5.36
MK0 0,0.0,0.0,2226.0,371.0,0.0,220.0,0.0,0.0,191.6
NL0 0,0.0,0.0,0.0,0.0,0.0,3419.6,85.0,0.0,0.0
NL0 1,0.0,0.0,0.0,0.0,0.0,7028.4,135.0,0.0,0.0
NO1 0,0.0,434360.9,39983579.382324524,19104.680000000004,0.0,294.0,0.0,0.0,0.0
NO1 1,0.0,0.0,16514383.582373617,4979.65,0.0,459.0,0.0,0.0,0.0
NO1 2,0.0,128424.79999999996,4352028.859296953,6237.7300000000005,0.0,0.0,0.0,0.0,892.5
PL0 0,0.0,2560.0725952813063,810838.3342425895,71.0,0.0,233.0,0.0,0.0,5.40858921297426
PL0 1,0.0,6000.0,468303.32787779596,41.00636942675159,0.0,1775.6,0.0,0.0,170.36625778067625
PL0 2,0.0,7251.36042647466,0.0,0.0,0.0,2136.0,0.0,0.0,6.62552178589347
PL0 3,0.0,831.6,320858.33787961444,28.09554140127388,0.0,2112.9,0.0,0.0,0.0
PT0 0,0.0,1700274.9785197405,1627940.0,1159.4,0.0,4371.0,130.0,0.0,2557.8
RO0 0,0.0,0.0,12100000.0,4449.94,0.0,1261.5,0.0,1300.0,3521.4500000000003
RS0 0,0.0,3684.0,0.0,790.1,0.0,299.0,30.0,0.0,1708.3999999999999
SE1 0,0.0,336.0,1296502.2252940035,417.30442806549576,0.0,50.0,384.0,5356.0,104.0
SE1 1,0.0,72120.0,11555128.544954209,3719.242601054487,0.0,126.0,522.0,3261.0,550.0
SE1 2,0.0,0.0,20948369.229751788,6742.639595812526,0.0,0.0,205.0,0.0,625.0
SI0 0,0.0,1080.0,2200000.0,576.1899999999998,0.0,194.0,0.0,696.0,504.41499999999996
SK0 0,0.0,4935.12,2200000.0,282.4,0.0,777.87,0.0,1940.0,1217.69
