StorageUnit,bus,p_nom
AL0 0 hydro,AL0 0,1690.7
AT0 0 hydro,AT0 0,4510.12
BA0 0 hydro,BA0 0,1773.5
BE0 0 hydro,BE0 0,12.73566878980889
BG0 0 hydro,BG0 0,1925.14
CH0 0 hydro,CH0 0,10456.869999999999
DE0 6 hydro,DE0 6,120.0
DE0 7 hydro,DE0 7,169.5
ES0 0 hydro,ES0 0,655.89
ES0 1 hydro,ES0 1,7426.0199999999995
ES0 2 hydro,ES0 2,1420.195
ES0 3 hydro,ES0 3,600.3
ES0 4 hydro,ES0 4,3234.9320000000002
ES0 5 hydro,ES0 5,1628.0
FI1 0 hydro,FI1 0,1103.0
FI1 1 hydro,FI1 1,68.0
FR0 0 hydro,FR0 0,463.4
FR0 11 hydro,FR0 11,1743.1847133757958
FR0 12 hydro,FR0 12,677.6687898089167
FR0 3 hydro,FR0 3,139.0
FR0 6 hydro,FR0 6,1160.5878980891716
FR0 8 hydro,FR0 8,1748.949681528662
FR0 9 hydro,FR0 9,2505.740127388534
FR6 0 hydro,FR6 0,134.96178343949032
GB3 0 hydro,GB3 0,90.0
GB3 6 hydro,GB3 6,131.5
GR0 0 hydro,GR0 0,2566.0
HR0 0 hydro,HR0 0,1452.4044585987263
HU0 0 hydro,HU0 0,28.0
IE4 0 hydro,IE4 0,1.0
IT0 0 hydro,IT0 0,144.0
IT0 1 hydro,IT0 1,69.0
IT0 2 hydro,IT0 2,1587.4
IT0 3 hydro,IT0 3,24.0
IT0 4 hydro,IT0 4,1661.6
IT0 5 hydro,IT0 5,127.8
IT0 6 hydro,IT0 6,503.0
IT5 0 hydro,IT5 0,78.0
ME0 0 hydro,ME0 0,344.961
MK0 0 hydro,MK0 0,371.0
NO1 0 hydro,NO1 0,19104.680000000004
NO1 1 hydro,NO1 1,4979.65
NO1 2 hydro,NO1 2,6237.7300000000005
PL0 0 hydro,PL0 0,71.0
PL0 1 hydro,PL0 1,41.00636942675159
PL0 3 hydro,PL0 3,28.09554140127388
PT0 0 hydro,PT0 0,1159.4
RO0 0 hydro,RO0 0,4449.94
RS0 0 hydro,RS0 0,790.1
SE1 0 hydro,SE1 0,417.30442806549576
SE1 1 hydro,SE1 1,3719.242601054487
SE1 2 hydro,SE1 2,6742.639595812526
SI0 0 hydro,SI0 0,576.1899999999998
SK0 0 hydro,SK0 0,282.4
