Generator,bus,p_nom,capital_cost
AL0 0 ror,AL0 0,48.2,308170.3719034552
AT0 0 ror,AT0 0,4466.080368258109,308170.3719034552
BE0 0 ror,BE0 0,59.015339742579165,308170.3719034552
BG0 0 ror,BG0 0,110.4,308170.3719034552
CH0 0 ror,CH0 0,4210.8808,308170.3719034552
DE0 0 ror,DE0 0,97.59118000000001,308170.3719034552
DE0 1 ror,DE0 1,11.881000000000004,308170.3719034552
DE0 10 ror,DE0 10,0.42500000000000004,308170.3719034552
DE0 11 ror,DE0 11,103.333,308170.3719034552
DE0 12 ror,DE0 12,43.87594,308170.3719034552
DE0 2 ror,DE0 2,55.84639999999999,308170.3719034552
DE0 3 ror,DE0 3,73.733,308170.3719034552
DE0 4 ror,DE0 4,1184.2935,308170.3719034552
DE0 5 ror,DE0 5,19.955,308170.3719034552
DE0 6 ror,DE0 6,577.1178300000001,308170.3719034552
DE0 7 ror,DE0 7,356.86600000000004,308170.3719034552
DE0 8 ror,DE0 8,177.543,308170.3719034552
DE0 9 ror,DE0 9,0.41500000000000004,308170.3719034552
ES0 1 ror,ES0 1,130.0,308170.3719034552
ES0 2 ror,ES0 2,147.00824749999998,308170.3719034552
FI1 0 ror,FI1 0,1122.3,308170.3719034552
FI1 1 ror,FI1 1,348.3,308170.3719034552
FR0 0 ror,FR0 0,2110.0,308170.3719034552
FR0 11 ror,FR0 11,1807.7141130846078,308170.3719034552
FR0 12 ror,FR0 12,223.67,308170.3719034552
FR0 3 ror,FR0 3,1476.1,308170.3719034552
FR0 6 ror,FR0 6,223.0,308170.3719034552
FR0 8 ror,FR0 8,809.5,308170.3719034552
FR0 9 ror,FR0 9,220.6650363370554,308170.3719034552
GB3 0 ror,GB3 0,632.8,308170.3719034552
GB3 2 ror,GB3 2,2147.3,308170.3719034552
GB3 3 ror,GB3 3,55.975,308170.3719034552
GB3 6 ror,GB3 6,794.1,308170.3719034552
GB4 0 ror,GB4 0,6.0,308170.3719034552
GR0 0 ror,GR0 0,103.1,308170.3719034552
HR0 0 ror,HR0 0,273.1677302916768,308170.3719034552
HU0 0 ror,HU0 0,19.7,308170.3719034552
IE4 0 ror,IE4 0,216.0,308170.3719034552
IT0 0 ror,IT0 0,853.0,308170.3719034552
IT0 1 ror,IT0 1,322.0,308170.3719034552
IT0 2 ror,IT0 2,2919.54,308170.3719034552
IT0 3 ror,IT0 3,43.0,308170.3719034552
IT0 4 ror,IT0 4,2890.0,308170.3719034552
IT0 5 ror,IT0 5,215.0,308170.3719034552
IT0 6 ror,IT0 6,569.0,308170.3719034552
IT5 0 ror,IT5 0,60.0,308170.3719034552
LT0 0 ror,LT0 0,101.0,308170.3719034552
LV0 0 ror,LV0 0,1536.1,308170.3719034552
ME0 0 ror,ME0 0,5.36,308170.3719034552
MK0 0 ror,MK0 0,191.6,308170.3719034552
NO1 2 ror,NO1 2,892.5,308170.3719034552
PL0 0 ror,PL0 0,5.40858921297426,308170.3719034552
PL0 1 ror,PL0 1,170.36625778067625,308170.3719034552
PL0 2 ror,PL0 2,6.62552178589347,308170.3719034552
PT0 0 ror,PT0 0,2557.8,308170.3719034552
RO0 0 ror,RO0 0,3521.4500000000003,308170.3719034552
RS0 0 ror,RS0 0,1708.3999999999999,308170.3719034552
SE1 0 ror,SE1 0,104.0,308170.3719034552
SE1 1 ror,SE1 1,550.0,308170.3719034552
SE1 2 ror,SE1 2,625.0,308170.3719034552
SI0 0 ror,SI0 0,504.41499999999996,308170.3719034552
SK0 0 ror,SK0 0,1217.69,308170.3719034552
