Link,p_nom,bus0,bus1,length,capital_cost
relation/5487095,600.0,DK0 0,DK1 0,216.5108547360354,29378.654518121017
relation/17631956,400.0,ES0 0,ES2 0,402.74735952231134,47529.78059656103
relation/6914309,500.0,GB4 0,GB3 0,264.1973445375784,35246.97261584263
relation/15775538,2250.0,GB3 0,GB3 2,350.46236347501906,42086.20863996545
relation/8185664,500.0,IT0 6,GR0 0,642.7472540850565,55603.945863389104
relation/8185487,1000.0,GB3 1,BE0 1,333.16610661154846,41365.44916283683
relation/8193755,1000.0,BE0 0,DE0 11,200.30740285510248,24167.211986242582
relation/2505320,600.0,DK1 0,DE0 10,325.169545921687,32808.286080215
relation/3918230,600.0,DE0 9,SE1 0,553.1220222508065,58050.009954822206
relation/8185420,700.0,DK0 0,NL0 0,524.9149725597405,55869.7115105298
relation/9965201,700.0,NL0 0,NO1 0,1028.3395886452054,96959.78338901808
relation/16213216,1400.0,DE0 9,NO1 0,882.0551790655537,79097.46722724568
relation/3391931,940.0,DK0 0,NO1 0,610.9382899642729,52888.00358318203
relation/8184629,680.0,DK0 0,SE1 0,353.6508190266988,37520.510481048055
relation/8184632,700.0,DK0 0,NO1 0,610.9382899642729,55128.26539885807
relation/15781671,1400.0,GB3 5,DK0 0,996.9476432574078,87868.09831130934
relation/6886400,650.0,EE0 0,FI1 1,415.19792325426863,46214.08738604167
relation/8184630,350.0,EE0 0,FI1 1,415.19792325426863,44717.65160261095
relation/9934065,1000.0,FR0 6,ES0 2,288.402870949099,27867.88004303266
relation/9934066,1000.0,FR0 6,ES0 2,288.402870949099,27867.88004303266
relation/3391954,800.0,FI1 1,SE1 1,500.01140013972326,48992.82042277382
relation/8184631,500.0,SE1 1,FI1 1,500.01140013972326,52629.373736958034
relation/2127794,2000.0,GB3 1,FR0 10,290.90135869511863,35157.94482149554
relation/3391794,300.0,IT5 0,FR6 0,368.1670293284242,31931.586806571155
relation/8185711,1000.0,IT5 0,IT0 0,541.0905767970394,58454.722619727574
relation/9982798,300.0,FR6 0,IT0 5,296.86219284456973,36311.440563002034
relation/10377412,1000.0,FR0 5,GB3 7,373.91915945769136,43800.00541054382
relation/15772117,1000.0,GB3 1,FR0 10,290.90135869511863,35618.930369950154
relation/8184641,500.0,GB3 2,IE4 0,414.78498453645585,44610.6503864967
relation/13295785,1400.0,NO1 0,GB3 4,1020.2911657206955,95896.89660272749
relation/14126301,1000.0,GB3 1,NL0 1,376.8495082655482,45264.40052214923
relation/8185767,1200.0,IT0 1,ME0 0,510.8553895933529,55375.01146009844
relation/8185455,700.0,LT0 0,SE1 0,810.5463179256009,76767.05513777463
relation/3392010,600.0,PL0 2,SE1 0,734.4937097619425,72292.78450932298
TYNDP2020_1,0.0,DE0 9,DE0 6,735.5889954710274,46653.03939643222
TYNDP2020_2,0.0,DE0 9,DE0 0,547.200531115436,38942.616110046045
TYNDP2020_6,0.0,IT0 1,ME0 0,510.8553895933529,54673.867092176704
TYNDP2020_7,0.0,GB3 7,FR0 1,494.2714714352103,50104.93109484443
TYNDP2020_10,0.0,DE0 11,DE0 6,392.67942706261977,32248.27472882561
TYNDP2020_17,0.0,IE4 0,FR0 4,814.7769158954065,78737.18450686743
TYNDP2020_22,0.0,DE0 12,DE0 4,337.4157855750863,29926.78876388809
TYNDP2020_23,0.0,DE0 5,DE0 11,200.30942875713222,24464.979117854935
TYNDP2020_29,0.0,IT5 0,FR6 0,368.1670293284242,35322.098634351765
TYNDP2020_30,0.0,FR6 0,IT0 5,296.86219284456973,36826.05261692146
TYNDP2020_31,0.0,IT0 4,SI0 0,301.9101950607278,28435.288605063124
TYNDP2020_32,0.0,GB3 1,DE0 5,693.0198183164747,60055.90448014233
TYNDP2020_33,0.0,LT0 0,PL0 1,468.77540092690697,44849.67959186366
TYNDP2020_36,0.0,GB3 1,FR0 10,290.90135869511863,36294.83512860547
TYNDP2020_37,0.0,IT0 2,CH0 0,211.517868635964,24638.135332409576
TYNDP2020_38,0.0,SE1 0,DE0 10,563.6637515559844,49064.06305914569
DC21,0.0,DE0 5,DE0 11,200.30942875713222,24390.558610708387
DC25,0.0,DE0 9,DE0 11,420.779755793952,34523.01797755514
DC34,0.0,DE0 5,DE0 1,341.0572877409647,30079.759070256394
DC35,0.0,DE0 5,DE0 1,341.0572877409647,30079.759070256394
DC40,0.0,DE0 5,DE0 3,509.7173473938404,37164.742086042665
DC40plus,0.0,DE0 5,DE0 12,377.6977112127337,31618.93069466459
DC41,0.0,DE0 9,DE0 6,735.5889954710274,46653.03939643222
DC42,0.0,DE0 9,DE0 6,735.5889954710274,46653.03939643222
DC42plus,0.0,DE0 9,DE0 1,522.4415801225476,37699.25495742042
DC2,0.0,DE0 11,FR0 3,399.7312684352129,32544.504769640665
DC5,0.0,DE0 12,DE0 7,457.25411563687453,34960.894259139415
DC20,0.0,DE0 9,DE0 7,799.9102266829715,49355.01182327118
TYNDP2018_154,0.0,GB3 3,FR0 5,442.32047144619145,46001.30632879965
TYNDP2018_25,0.0,FR0 5,GB3 7,373.91915945769136,42851.75284242153
TYNDP2018_285,0.0,GB3 1,FR0 10,290.90135869511863,34457.51046931904
TYNDP2018_190,0.0,NO1 0,GB3 6,804.9253379295043,73489.85059674749
TYNDP2018_16,0.0,ES0 3,FR0 12,340.05116213687404,37870.47730642907
TYNDP2018_21,0.0,IT0 2,FR0 11,333.60647496319325,29766.76924864148
TYNDP2022_286,0.0,IE4 0,GB3 3,428.6942539851112,47139.99803957314
TYNDP2024_1157,0.0,IT0 2,IT0 0,567.6704179756684,39599.204172857855
TYNDP2024_1166,0.0,IT0 5,IT0 1,563.4169862424977,46328.254351231066
TYNDP2024_1169,0.0,IT5 0,IT0 0,541.0905767970394,56977.426282707005
TYNDP2024_1168,0.0,IT0 6,IT0 0,534.1015674399702,48507.60577048815
TYNDP2024_1168_1,0.0,IT0 6,IT0 3,413.69126737474204,42352.79567998749
TYNDP2024_1229,0.0,DE0 5,DE0 1,341.0572877409647,30079.759070256394
